name,wins,losses,ties
228th Battalion,14,7,0
Alberta Oilers,78,37,3
Anaheim Ducks,492,178,
Atlanta Flames,636,260,108
Atlanta Thrashers,902,437,45
Birmingham Bulls,241,129,13
Boston Bruins,5960,2207,791
Brooklyn Americans,48,29,3
Buffalo Sabres,3280,1219,409
Calgary Cowboys,161,78,11
Calgary Flames,2488,954,271
Calgary Tigers,142,67,4
California Golden Seals,472,283,73
Carolina Hurricanes,1148,461,86
Chicago Black Hawks,3886,1701,617
Chicago Blackhawks,2008,827,197
Chicago Cougars,234,132,8
Cincinnati Stingers,321,164,15
Cleveland Barons,160,87,26
Cleveland Crusaders,314,144,20
Cobalt Silver Kings,12,8,0
Colorado Avalanche,1312,462,101
Colorado Rockies,480,281,86
Columbus Blue Jackets,902,441,33
Czechoslovakia,14,10,2
Dallas Stars,1444,487,125
Denver Spurs/Ottawa Civics,41,26,1
Detroit Cougars,176,87,25
Detroit Falcons,92,41,17
Detroit Red Wings,5626,2156,773
Edmonton Eskimos,142,58,6
Edmonton Oilers,3046,1272,283
Finland,1,1,0
Florida Panthers,1444,605,142
Haileybury Hockey Club,12,8,0
Hamilton Tigers,126,78,1
Hartford Whalers,1420,709,177
Houston Aeros,474,170,19
Indianapolis Racers,344,202,24
Kansas City Scouts,160,110,23
Les Canadiens,12,10,0
Los Angeles Kings,3506,1561,424
Los Angeles Sharks,156,88,6
Michigan Stags/Baltimore Blades,78,53,4
Mighty Ducks of Anaheim,952,427,107
Minnesota Fighting Saints,335,145,17
Minnesota North Stars,2062,970,334
Minnesota Wild,902,362,55
Montreal Canadiens,6258,2119,838
Montreal Maroons,622,260,91
Montreal Shamrocks,12,8,1
Montreal Wanderers,156,82,0
Nashville Predators,1066,424,60
New England Whalers,555,236,38
New Jersey Devils,2328,922,219
New Westminster Royals,44,24,0
New York Americans,736,373,124
New York Golden Blades/Jersey Knights,78,42,4
New York Islanders,3124,1345,347
New York Raiders,78,43,2
New York Rangers,5894,2464,808
Oakland Seals,226,118,42
Ottawa Nationals,78,39,4
Ottawa Senators,2220,929,178
Philadelphia Blazers,78,40,0
Philadelphia Flyers,3506,1202,457
Philadelphia Quakers,44,36,4
Phoenix Coyotes,1230,498,94
Phoenix Roadrunners,238,114,18
Pittsburgh Penguins,3506,1530,383
Pittsburgh Pirates,212,122,23
Portland Rosebuds,108,56,2
Quebec Bulldogs,162,83,2
Quebec Nordiques,1812,836,184
Regina Capitals,112,55,2
Renfrew Creamery Kings,28,11,1
San Diego Mariners,239,106,14
San Jose Sharks,1608,672,121
Saskatoon Crescents,60,32,5
Saskatoon Sheiks,58,22,2
Saskatoon/Moose Jaw Sheiks,24,19,0
Seattle Metropolitans,210,96,2
Soviet All Stars,14,5,2
Spokane Canaries,23,15,0
St. Louis Blues,3506,1429,432
St. Louis Eagles,48,31,6
Tampa Bay Lightning,1528,732,112
Toronto Arenas,40,22,0
Toronto Blueshirts,98,51,1
Toronto Maple Leafs,5850,2437,773
Toronto Ontarios,20,16,0
Toronto Ontarios/Shamrocks,20,13,0
Toronto St. Patricks,230,111,10
Toronto Tecumsehs,20,13,0
Toronto Toros,237,118,11
Vancouver Blazers,156,89,3
Vancouver Canucks,3280,1454,391
Vancouver Maroons,118,62,4
Vancouver Millionaires,211,97,0
Victoria Aristocrats,172,96,2
Washington Capitals,2968,1269,303
Winnipeg Jets,1975,922,198
name,,,
